id_notizia;Titolo;Pubblicazione;Descrizione;Autore;Fonte;Link;Immagine;C_liked;C_disliked;C_shared
18;La moglie di Tinto Brass:  «Io l’ho reso più pudico,  le attrici dei suoi film  sono quasi tutte sparite»;2022-09-07 08:33:54;La moglie del regista, sposata nel 2017: «Gli dicevo che a me il sesso non importava, gli ho fatto accettare un amore non sessualizzato»;Andrea Pasqualetto;Corriere;https://www.corriere.it/cronache/22_settembre_07/tinto-brass-caterina-varzi-intervista-1ff073fa-2e19-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Interni/Foto%20Interni%20-%20Trattate/1-494x516@Corriere-Print-kxqH-U33705642125416qF-656x492@Corriere-Web-Sezioni.jpg;0;0;0
19;Wartsila va avanti con i licenziamenti ma promette la reindustrializzazione;2022-09-07 18:30:27;È quanto avrebbe detto il ceo del gruppo finlandese, Hakan Agnevall, nel corso del tavolo al Mise, assicurando la disponibilità ad inviare ai sindacati, il 12 settembre, «un piano di mitigazione degli effetti occupazionali» grazie alla reindustrializzazione ;Redazione Economia;Corriere;https://www.corriere.it/economia/lavoro/22_settembre_07/wartsila-va-avanti-licenziamenti-ma-promette-reindustrializzazione-ee9090ce-2eb3-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Economia/Foto%20Economia%20-%20Trattate/wartsila-k7JF-U3360339455024DgC-656x492@Corriere-Web-Sezioni-koPI-U3370604941924JMI-656x492@Corriere-Web-Nazionale.jpg;0;0;0
20;Lo choc energetico? Dalla Cina all’India, ecco chi soffia sui prezzi di gas e petrolio;2022-09-07 08:54:44;Le sette sorelle di cui parlava Mattei non sono più un centro di potere. Dal gigante Saudi Aramco alla russa Rosneft, il destino energetico del mondo si gioca in Cina, Russia, India e nei Paesi emergenti. E tutto è iniziato ben prima della guerra in Ucraina;Federico Rampini;Corriere;https://www.corriere.it/economia/opinioni/22_settembre_07/gas-petrolio-cina-all-india-ecco-chi-soffia-prezzi-dell-energia-df40091a-2da5-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Economia/Foto%20Economia%20-%20Trattate/44.0.2094712864-kDYC-U3370529997562HG-656x492@Corriere-Web-Sezioni.jpg;0;0;0
21;Ritorno al carbone: ecco le centrali che produrranno alla massima potenza;2022-09-07 16:38:28;La strategia italiana per risparmiare gas segue due vie: quella del decreto Aiuti ter per aiutare famiglie e imprese e quella di riattivare a pieno regime le centrali a carbone e a olio. Da Brindisi a Civitavecchia, da Fusina a Porto Vesme fino a Fiumesanto e Monfalcone, ecco quali sono;Alessia Conzonato;Corriere;https://www.corriere.it/economia/consumi/cards/ritorno-carbone-ecco-centrali-che-produrranno-massima-potenza/via-libera-centrali-carbone-olio_principale.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Economia/Foto%20Economia%20-%20Trattate/br-kAkD-U33705929735961dG-656x492@Corriere-Web-Sezioni.jpg;0;0;0
22;Fotovoltaico, c’è il modello semplificato: quanto costa e come funziona l’impianto ;2022-09-06 16:06:40;In tempo di crisi del gas e corsa alle rinnovabili gli impianti fotovoltaici rappresentano una soluzione ricercata in quanto consentono di produrre energia elettrica sfruttando la luce del sole. Ecco cosa sapere sui costi e il funzionamento dei pannelli solari;Diana Cavalcoli;Corriere;https://www.corriere.it/economia/consumi/cards/fotovoltaico-arriva-modello-semplificato-quanto-costano-come-funzionano-impianti/fotovoltaico-impianti-oggi_principale.shtml;https://images2.corriereobjects.it/methode_image/2022/09/01/Economia/Foto%20Economia%20-%20Trattate/GettyImages-114338035-kEAG-U3370318324386x-656x492@Corriere-Web-Sezioni.jpg;0;0;0
23;Se il riscatto della laurea non anticipa la pensione: ecco quando non conviene;2022-09-06 16:09:05;;Massimo Fracaro;Corriere;https://www.corriere.it/pensioni-investimenti-risparmi-esperto-risponde/06-09-2022/index.shtml;https://images2.corriereobjects.it/methode_image/2022/09/05/Economia/Foto%20Economia%20-%20Trattate/MILANO_20100705_CORECO_14_1_0-kAmF-U43290917671022zu-656x492@Corriere-Web.jpg;0;0;0
24;L acrobazia mozzafiato di Tom Cruise per promuovere «Mission Impossible»;2022-09-07 17:09:21;L’attore in bilico su un biplano si rivolge al pubblico invitandolo ad andare a vedere i nuovi film della saga;;Corriere;https://video.corriere.it/spettacoli/acrobazia-mozzafiato-tom-cruise-promuovere-mission-impossible/a34087b6-2ebb-11ed-bf4a-00b229732663;https://images2.corriereobjects.it/methode_image/Video/2022/09/07/Spettacoli/Foto%20Spettacoli%20-%20Trattate/tom-kwjH--656x492@Corriere-Web-Nazionale.jpg;0;0;0
25;Crozza nei panni di Meloni: «Mo’ che ce staccano er gas me tocca de governà?»;2022-09-07 13:25:40;Il comico imita per la prima volta la leader di Fratelli d’Italia;;Corriere;https://video.corriere.it/spettacoli/crozza-panni-letta-meloni-mo-che-ce-staccano-er-gas-me-tocca-de-governa/0083c05a-2e17-11ed-aea6-eaa2f969967c;https://images2.corriereobjects.it/methode_image/Video/2022/09/06/Spettacoli/Foto%20Spettacoli%20-%20Trattate/meloni%20crozza-U43010618074341mOG--656x492@Corriere-Web-Nazionale.PNG;0;0;0
26;Venezia79, l’assalto a Francesca Chillemi e Can Yaman: «La bellezza un dono di Dio, ma abbiamo altro»;2022-09-07 18:05:43;I due attori protagonisti del red carpet al Lido, ma le forze dellordine fanno da scorta;;Corriere;https://video.corriere.it/venezia79-l-assalto-francesca-chillemi-can-yaman-la-bellezza-dono-dio-ma-abbiamo-altro/a9ba6344-2e04-11ed-aea6-eaa2f969967c;https://images2.corriereobjects.it/methode_image/Video/2022/09/06/Spettacoli/Foto%20Spettacoli%20-%20Trattate/v-kj3C--656x492@Corriere-Web-Nazionale.JPG;0;0;0
27;«Napoli pericolosa?», la lezione di Klopp in conferenza stampa;2022-09-07 10:55:36;L’allenatore del Liverpool contro un giornalista: «Questa domanda è imbarazzante, lei sta cercando solo un titolo»;;Corriere;https://video.corriere.it/sport/calcio/napoli-pericolosa-lezione-klopp-conferenza-stampa/3b7f24e4-2e7e-11ed-bf4a-00b229732663;https://images2.corriereobjects.it/methode_image/Video/2022/09/07/Sport/Foto%20Sport%20-%20Trattate/kloppnapoli_656_ori_crop_MASTER__0x0.jpg;0;0;0
28;Bimbo vestito da Superman irrompe durante il comizio del presidente cileno ;2022-09-07 12:10:57;Il fuoriprogramma mentre Gabriel Boric stava tenendo un discorso su una nuova Costituzione che i cileni sono stati chiamati a votare ;;Corriere;https://video.corriere.it/esteri/bimbo-vestito-superman-irrompe-il-comizio-presidente-cileno/019050c4-2e78-11ed-bf4a-00b229732663;https://images2.corriereobjects.it/methode_image/Video/2022/09/07/Esteri/Foto%20Esteri%20-%20Trattate/Bimbo%20Superman%20presidente%20cile-kJ0H--656x492@Corriere-Web-Nazionale.PNG;0;0;0
29;Psg-Juventus: versi della scimmia e saluti nazisti, arrestati quattro tifosi italiani;2022-09-07 18:04:48;Sono stati individuati tramite alcuni video diventati virali sui social network;;Corriere;https://video.corriere.it/sport/psg-juventus-versi-scimmia-saluti-nazisti-arrestati-quattro-tifosi-italiani/30ead326-2ec3-11ed-bf4a-00b229732663;https://images2.corriereobjects.it/methode_image/Video/2022/09/07/Sport/Foto%20Sport%20-%20Trattate/psgjuventus_versi_della_scimmia_e_saluti_nazisti_arrestati_quattro_tifosi_italiani210589_656_ori_crop_MASTER__0x0.jpg;0;0;0
30;Tumori di testa e collo, riconoscere i primi sintomi fa la differenza;2022-09-06 12:09:07;Con una diagnosi precoce il tasso di sopravvivenza arriva anche al 90%. Dal 19 al 23 settembre 120 centri offrono gratuitamente visite ed esami. Ecco i sintomi da non ignorare (se durano oltre tre settimane);Cristina Marrone;Corriere;https://www.corriere.it/salute/sportello_cancro/22_settembre_06/tumori-testa-collo-riconoscere-primi-sintomi-fa-differenza-84cff0ee-2dbe-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Salute/Foto%20Salute%20-%20Trattate/GettyImages-1336160356-kXXF-U33705350284781SD-656x492@Corriere-Web-Sezioni.jpg;0;0;0
31;La crema solare va messa anche sul collo: la foto choc che fa da promemoria;2022-09-07 10:28:17;L’immagine diventata virale e postata su Twitter da un dermatologo americano rilancia l’importanza di utilizzare creme solari su tutto il corpo per prevenire l’invecchiamento cutaneo e i tumori;Cristina Marrone;Corriere;https://www.corriere.it/salute/sportello_cancro/22_settembre_07/crema-solare-su-collo-5d737d34-2de8-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Salute/Foto%20Salute%20-%20Trattate/pelle-obb-k1GF-U3370553518174qWD-656x492@Corriere-Web-Sezioni.jpg;0;0;0
32;Meteo, le previsioni di giovedì 8 settembre: temporali al Centro-Nord, allerta arancione in Lombardia e Veneto, grande caldo al Sud;2022-09-07 17:27:37;Fino a 38 gradi in Sicilia: bollino arancione a Palermo. Nonostante i rovesci delle ultime settimane, resta critica la siccità in Lombardia e Piemonte;Redazione Cronache;Corriere;https://www.corriere.it/meteo/22_settembre_07/meteo-previsioni-giovedi-8-settembre-temporali-centro-nord-allerta-arancione-lombardia-veneto-grande-caldo-sud-10676252-2eb1-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Interni/Foto%20Interni%20-%20Trattate/18976074-kZLB-U3370604921152TjH-656x492@Corriere-Web-Sezioni.jpg;0;0;0
33;Test di Medicina 2022, da Corrado il Salico  al Def. Ecco tutte le domande e le risposte;2022-09-07 08:30:24;La graduatoria uscirà a metà mese. Il punteggio massimo è 90. È l’ultimo concorsone con le domande di cultura generale. Sessantacinquemila iscritti per quindicimila posti;Redazione Università;Corriere;https://www.corriere.it/scuola/rientro-a-scuola/notizie/test-medicina-2022-corrado-salico-def-ecco-tutte-domande-risposte-a673a9bc-2dea-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Cultura/Foto%20Cultura%20-%20Trattate/19140166-kacH-U3370549676589d0B-656x492@Corriere-Web-Sezioni.jpg;0;0;0
34;L’arte di perdere  e andare al governo;2022-09-07 00:58:02;;Aldo Cazzullo;Corriere;https://www.corriere.it/lodicoalcorriere/index/06-09-2022/index.shtml;https://images2.corriereobjects.it/methode_image/Cassetto%20Redazionale/Nazionale/Media/Rubriche%20Immagini/Placeholder/lodicoacorriere_656x492.jpg;0;0;0
35;Mihajlovic esonerato dal Bologna, De Zerbi rifiuta di sostituirlo: solo se si fosse dimesso;2022-09-07 16:46:25;Il club rossoblù ha esonerato Sinisa dopo quattro anni. Il patron Saputo: «La decisione più difficile da quando sono presidente del Bologna. Ma si è resa inevitabile»;;Corriere;https://www.corriere.it/sport/calcio/22_settembre_07/mihajlovic-esonerato-bologna-de-zerbi-rifiuta-f1587b86-2e28-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Sport/Foto%20Sport%20-%20Trattate/de%20zerbi%20combo-kjOF-U3370575618196XGE-656x492@Corriere-Web-Sezioni.jpg;0;0;0
36;Ferrari gialla per il Gp di Monza: livrea speciale per la gara di casa in omaggio a Modena;2022-09-07 17:22:46;È un modo, nell’anno del 75esimo anniversario, di ricordare le origini del Cavallino Rampante. Tutte gialle per Leclerc e Sainz;Daniele Sparisci;Corriere;https://www.corriere.it/sport/formula-1/22_settembre_07/ferrari-gialla-gp-monza-livrea-898ed6a2-2eb0-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Sport/Foto%20Sport%20-%20Trattate/SF_CAR28-kBRG-U3370604230863NqC-656x492@Corriere-Web-Sezioni.jpg;0;0;0
37;Cene, moda, figli e sostenibilità: la seconda stagione della «Milanese» ;2022-09-06 22:37:23;Riprende il racconto in audio di Michela Proietti sul personaggio a cui ha dedicato due libri: sei puntate nuove, una ogni mercoledì, con chef, influencer, donne di potere e molti altri ospiti. Il primo episodio è sui figli della Milanese;Francesco Giambertone;Corriere;https://www.corriere.it/cronache/22_settembre_06/cene-moda-figli-sostenibilita-seconda-stagione-milanese-d695cd92-2de9-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Interni/Foto%20Interni%20-%20Trattate/LAMILANESE_obb_656x492%202%20STAGIONE-ksnG-U3370553896773kl-656x492@Corriere-Web-Sezioni.png;0;0;0
38;Paola Cortellesi: «Laura Pausini non mi molla più. La nostra amicizia nata per via del nome delle nostre figlie»;2022-09-07 15:30:23;Nellintervista sul settimanale «F» lattrice racconta: «Io ho chiamato mia figlia Laura e lei ha chiamato la figlia Paola, come me. Quando la cantante lo ha scoperto mi ha voluto conoscere» ;Redazione Online;Corriere;https://www.corriere.it/spettacoli/22_settembre_07/paola-cortellesi-laura-pausini-non-mi-molla-piu-nostra-amicizia-nata-via-nome-nostre-figlie-7b79dd58-2e9e-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Spettacoli/Foto%20Spettacoli%20-%20Trattate/4318.0.603473894-kGjG-U3370599375312GIE-656x492@Corriere-Web-Sezioni.jpg;0;0;0
39;Il desiderio di cibi grassi è guidato da una connessione intestino-cervello ;2022-09-07 18:21:45;Nuove possibilità per combattere l’obesità: alcune cellule dell’intestino mandano al cervello un segnale che è stato inibito da un farmaco. I cibi grassi creano «dipendenza»;Daniela Natali;Corriere;https://www.corriere.it/salute/nutrizione/22_settembre_07/desiderio-cibi-grassi-connessione-intestino-cervello-c4c7460a-2d34-11ed-82e8-8adda605a86c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/05/Salute/Foto%20Salute%20-%20Trattate/gettyimages-13325595841-kdd-u3370509639546lph-656x492corriere-web-sezioni_master_ori_crop_MASTER__0x0.jpg;0;0;0
40;Marco Bizzarri, presidente e ad di Gucci: «Scelsi Alessandro Michele: creò la collezione in cinque giorni»;2022-09-07 15:13:53;L’imprenditore: «A 13 anni voleva prendermi l’Inter, poi capitai in classe con Bottura. Scoprii che il nuovo direttore creativo ce l’avevamo in casa. Puntò sul gender fluid, quasi senza distinzione tra uomo e donna: un rischio pazzesco»;Aldo Cazzullo;Corriere;https://www.corriere.it/cronache/22_settembre_07/marco-bizzarri-intervista-8f474526-2e19-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/06/Interni/Foto%20Interni%20-%20Trattate/marcobizzarrialessandromichele-kumg-u3370558929061dfh-656x492corriere-web-sezioni_master_ori_crop_MASTER__0x0.jpg;0;0;0
41;Tuchel esonerato dal Chelsea dopo la sconfitta in Champions con la Dinamo Zagabria;2022-09-07 17:41:22;Fatale la sconfitta in Champions contro la Dinamo Zagabria  il club inglese ha deciso di sostituire l’allenatore. Graham Potter il favorito;Simone Golia - Redazione gianlucadimarzio.com;Corriere;https://www.corriere.it/sport/calcio/champions-league/22_settembre_07/tuchel-esonerato-chelsea-b8dd0c6c-2e8d-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Sport/Foto%20Sport%20-%20Trattate/1421356707-kSaH-U3370593130294jPI-656x492@Corriere-Web-Sezioni.jpg;0;0;0
42;«Bisio, marito mancatoConti sempre perfetto»;2022-09-07 14:28:34; Incontrada giudica i colleghi:  «Intesa con SianiLa  mia popolarità? Per natura amo stare in disparte»;Renato Franco;Corriere;https://www.corriere.it/spettacoli/22_settembre_07/bisio-marito-mancatoconti-sempre-perfetto-ba23de1c-2df1-11ed-aea6-eaa2f969967c.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Spettacoli/Foto%20Spettacoli%20-%20Trattate/0188_GDZ_6749Frev01-kUVH-U3370552062734wOB-656x492@Corriere-Web-Sezioni.jpg;0;0;0
43;Stromboli, la rinascita tra scienza e ignoto con la festa «Opere magiche»;2022-09-07 18:18:05;Dal 17 al 19 settembre, l’isola del vulcano prova a mettersi alle spalle un’estate tormentata (tra incendi e alluvione), con il primo festival «Opere magiche Stromboli», festa del pensiero magico. Un confronto tra arte, scienza e futuro nelle carte;Peppe Aquaro;Corriere;https://www.corriere.it/cronache/22_settembre_07/stromboli-rinascita-scienza-ignoto-la-festa-opere-magiche-7c5209e8-2ec2-11ed-bf4a-00b229732663.shtml;https://images2.corriereobjects.it/methode_image/2022/09/07/Interni/Foto%20Interni%20-%20Trattate/media-k1B--656x492@Corriere-Web-Sezioni.jpg;0;0;0
44;Linguine «alla pezzente», la ricetta della pasta al pesce che costa quasi 5 euro;2022-09-07 18:10:05;Le linguine alla pezzente sono un piatto povero e sostanzioso, tipico di Conca dei Marini (Costiera Amalfitana), uno dei borghi più piccoli e più belli d’Italia;Fabiana Salsi;Corriere;https://www.corriere.it/cook/news/cards/linguine-alla-pezzente-ricetta-pasta-pesce-che-costa-quasi-5-euro/piatto-semplice_principale.shtml;https://images2.corriereobjects.it/methode_image/2022/08/24/Cucina/Foto%20Cucina%20-%20Trattate/linguine%20povera-kBMD--656x492@Corriere-Web-Sezioni.jpg;0;0;0
45;Mantova, 19enne dà gas alla Ferrari durante il raduno di auto: perde il controllo e si schianta;2022-09-07 18:51:24;Il ragazzo ha schiacciato sull’acceleratore per farsi notare all’evento a Bagnolo San Vito, ma gli è andata male: il bolide è salito sul marciapiede ed è finito contro un albero. Il video è diventato virale sui social;Giovanni Bernardi;Corriere;https://milano.corriere.it/notizie/lombardia/22_settembre_07/mantova-19enne-da-gas-ferrari-il-raduno-auto-perde-controllo-si-schianta-3cd434f4-2ec6-11ed-bf4a-00b229732663.shtml;https://images2-milano.corriereobjects.it/methode_image/2022/09/07/Milano/Foto%20Milano%20-%20Trattate/comboferrari1-ke6-U3370611902489C5G-656x492@Corriere-Web-Milano.jpg;0;0;0
